Havaintopaikka;Koordinaatit;ELY-keskus;Päivämäärä;LevätilanneNum;LevätilanneTxt;Seuranta;Ylläpito;Lisätiedot
"Pyhäjärvi (04.391.1.001)/Havaintopaikka 4";"62° 2' 30.63"" N, 29° 55' 13.24"" E";"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus";2022-06-24T14:03:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Bengtsår/Mökkilaituri Båtviken Alenstugan";"59° 58' 25.84"" N, 23° 11' 55.94"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2022-06-25T17:58:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Pyhäjärvi (34.031.1.001)/Varuskunnan uimaranta";"61° 2' 14.98"" N, 22° 22' 9.75"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2022-06-26T21:41:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Pyhäjärvi (34.031.1.001)/Eenokki";"61° 3' 52.95"" N, 22° 16' 24.10"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2022-06-27T19:26:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Pyhäjärvi (34.031.1.001)/Kiperi";"61° 4' 38.57"" N, 22° 9' 47.55"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2022-06-27T19:31:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Ranta aivan vihreänä levästä."
"Kallavesi (yhd.)/Salonsarventie 33";"62° 53' 32.98"" N, 27° 48' 55.91"" E";"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus";2022-07-01;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Lappajärvi (47.031.1.001)/Havaintopaikka 8";"63° 14' 22.77"" N, 23° 39' 56.46"" E";"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2022-07-01T12:00:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Päijänne (yhd.)/Kahvila Loisto - uimaranta";"62° 7' 41.88"" N, 25° 44' 43.56"" E";"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus";2022-07-04T11:44:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kuusiston salmet ja Piikkiönlahti/Hantuntie";"60° 23' 18.12"" N, 22° 19' 35.09"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2022-07-04T15:45:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kilpijärvi (19.007.1.001)/Lintutorni";"60° 42' 19.83"" N, 25° 13' 39.04"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2022-07-04T20:02:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Virallinen varoituslappu rannalla."
