Havaintopaikka;Koordinaatit;ELY-keskus;Päivämäärä;LevätilanneNum;LevätilanneTxt;Seuranta;Ylläpito;Lisätiedot
"Pyhäjärvi (04.391.1.001)/Hepokallio";"61° 47' 18.41"" N, 29° 58' 1.37"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2021-06-17T10:06:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kukkia (35.781.1.002)/Aaponsaari";"61° 21' 2.96"" N, 24° 45' 39.98"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2021-06-19T11:25:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Immalanjärvi (04.192.1.001)/Raution uimaranta";"61° 14' 9.20"" N, 28° 53' 47.00"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2021-06-22T11:15:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Immalanjärvi (04.192.1.001)/Valtakunnallinen sinileväseuranta (Raution uimaranta)";"61° 14' 5.64"" N, 28° 53' 47.40"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2021-06-22T11:15:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Pyhäjärvi (34.031.1.001)/Kunnan ranta";"61° 2' 38.45"" N, 22° 20' 36.65"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2021-06-23T14:07:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Ranta laajalta alueelta sinilevää peitossa ja runsaasti kuolleita kaloja"
"Pyhäjärvi (34.031.1.001)/Kunnan ranta";"61° 2' 38.45"" N, 22° 20' 36.65"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2021-06-23T14:47:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Viekijärvi (04.482.1.001)/Viekijärvi, Kylänlahti";"63° 21' 59.98"" N, 29° 44' 34.57"" E";"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus";2021-06-23T15:31:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Vardskadsudden - Strömma/Bredvik";"60° 2' 41.97"" N, 22° 45' 57.30"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2021-06-24T20:47:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Bengtsår/Mökkilaituri Båtviken Alenstugan";"59° 58' 25.84"" N, 23° 11' 55.94"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2021-06-25T10:18:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Båtvikenin alueella esiintyy sinilevää. Ensimmäiset havainnot 19.6. Päivittäin lauttoja, etenkin tyynenä päivinä erittäin runsas kukinta."
"Iso- ja Pikku-Nauvon vesialue/Nauvon pappilanlahti";"60° 11' 58.75"" N, 21° 54' 16.51"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2021-06-28T18:44:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Vesi todella hileistä sinilevästä. Ei ainakaan lemmikkejä enää veteen. Automaattinen sinileväseuranta Framnäsissä tämän sivun kautta (klikkaa sinistä ""Framnäs"" sanaa sinileväteksti kohdassa: https://www.pargas.fi/fi/uimarannat"
