Havaintopaikka;Koordinaatit;ELY-keskus;Päivämäärä;LevätilanneNum;LevätilanneTxt;Seuranta;Ylläpito;Lisätiedot
"Haapajärvi (06.022.1.001)/Valtakunnallinen sinileväseuranta";"60° 55' 25.14"" N, 28° 18' 9.76"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-21T09:41:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Päijänne (yhd.)/Kalliosaaret";"62° 0' 20.43"" N, 25° 44' 25.95"" E";"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-27T10:18:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Jaurakaisjärvi (60.065.1.001)/Jaurakainen";"65° 11' 44.84"" N, 26° 53' 46.71"" E";"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-28T13:48:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kuloveden lähialue (35.132)/Vaunuvuoren lammi";"61° 28' 46.19"" N, 23° 18' 3.59"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-30T05:25:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Suomen ennätys levänmäärässä."
"Jaurakaisjärvi (60.065.1.001)/Jaurakainen";"65° 11' 53.68"" N, 26° 54' 6.62"" E";"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-30T07:26:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Ylisjärvi (24.043.1.001)/Tuoreskallio";"60° 21' 17.47"" N, 23° 16' 26.79"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-30T12:06:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Ylisjärvi (24.043.1.001)/Tuoreskallio";"60° 21' 17.47"" N, 23° 16' 26.79"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-07-10T08:42:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Ranuanjärvi (61.463.1.002)/Multilahti";"65° 56' 9.03"" N, 26° 30' 51.78"" E";"Lapin elinkeino-, liikenne- ja ympäristökeskus";2023-07-10T17:30:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Koko uimarannan pituudelta runsaasti vihreää levämassaa/puuroa"
"Kirkkojärvi (95.110.1.020)/Valtakunnallinen sinileväseuranta (Rymättylän Kirkkojärvi)";"60° 22' 15.30"" N, 21° 55' 58.83"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-07-11T11:34:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Ylisjärvi (24.043.1.001)/Tuoreskallio";"60° 21' 17.47"" N, 23° 16' 26.79"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-07-12T07:17:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Ylisjärvi (24.043.1.001)/Valtakunnallinen sinileväseuranta (itäranta)";"60° 21' 56.56"" N, 23° 16' 58.11"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-07-12T13:19:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Vanajavesi (yhd.)/Havaintopaikka 3";"61° 7' 23.43"" N, 24° 11' 22.81"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2023-07-13T19:55:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Kirkonkylän veneranta";"60° 24' 54.57"" N, 24° 18' 54.70"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-07-15T12:51:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kirkkojärvi (95.110.1.020)/Valtakunnallinen sinileväseuranta (Rymättylän Kirkkojärvi)";"60° 22' 15.30"" N, 21° 55' 58.83"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-07-18T12:16:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Kuusiston salmet ja Piikkiönlahti/Harvaluoto";"60° 22' 36.30"" N, 22° 29' 25.28"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-07-22T08:43:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Pyhäjärvi (16.003.1.001)/Pyykkiniekan uimaranta";"60° 44' 21.67"" N, 26° 5' 37.27"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2023-07-25T10:40:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Porin avomeri/Ristireimarin matala";"61° 29' 40.59"" N, 21° 24' 20.40"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-07-25T13:12:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Mynälahden sisäosa/Valtakunnallinen sinileväseuranta (Kärmäläinen)";"60° 33' 22.67"" N, 21° 46' 3.57"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-07-26T08:29:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Paraisten ja Nauvon välinen vesialue/Yxkilsudd";"60° 10' 22.00"" N, 22° 15' 39.68"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-07-26T09:10:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Pyhämaan saaristo/Vähä-Pirha";"60° 57' 45.34"" N, 21° 18' 2.73"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-07-26T20:41:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Toiviaisjärvi (04.552.1.013)/Kotiranta";"63° 33' 5.09"" N, 26° 30' 36.95"" E";"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus";2023-07-27T09:27:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Kirkonkylän veneranta";"60° 24' 56.98"" N, 24° 18' 53.85"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-07-27T17:11:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Kirkonkylän veneranta";"60° 24' 56.69"" N, 24° 18' 53.94"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-07-30T12:11:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Rysätarha";"60° 22' 45.94"" N, 24° 16' 26.16"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-07-30T12:14:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Suuri-Onkamo (04.372.1.001)/Valtakunnallinen sinileväseuranta (Piranlahti)";"62° 18' 35.50"" N, 29° 59' 38.10"" E";"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus";2023-08-01T07:33:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Pyhäjärvi (16.003.1.001)/Pyykkiniekan uimaranta";"60° 44' 21.73"" N, 26° 5' 38.03"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2023-08-01T10:40:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kruunuvuorenselkä/Sörnäisten ranta";"60° 10' 59.24"" N, 24° 57' 51.26"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-03T10:28:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Isojärvi (18.063.1.002)/Isojärvi";"60° 33' 21.47"" N, 25° 21' 25.40"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-03T11:43:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Kirkonkylän veneranta";"60° 24' 57.31"" N, 24° 18' 53.67"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-12T17:22:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Rysätarha";"60° 22' 48.55"" N, 24° 16' 24.33"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-12T17:45:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
Ahvenkoskenlahti/Källvik;"60° 22' 58.28"" N, 26° 27' 25.19"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-13T13:30:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Sääskjärvi (16.004.1.001)/Valtakunnallinen sinileväseuranta";"60° 49' 26.32"" N, 26° 14' 28.70"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2023-08-15T09:51:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Rusutjärvi (21.083.1.001)/Valtakunnallinen sinileväseuranta (uimaranta)";"60° 25' 47.28"" N, 24° 59' 17.88"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-15T11:48:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Seurasaari/Rotarien sinileväseuranta (Laajalahti, Munkkiniemenranta)";"60° 11' 50.61"" N, 24° 51' 59.06"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-16T12:48:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";"Todella hernerokkamainen leväkukinta!"
"Härkmerifjärden (96.510.1.006)/Häggstrand";"62° 11' 53.48"" N, 21° 26' 3.44"" E";"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-18T19:34:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Puokiojärvi (59.275.1.001)/Havaintopaikka 1";"64° 43' 24.17"" N, 27° 16' 18.75"" E";"Kainuun elinkeino-, liikenne- ja ympäristökeskus";2023-08-20T11:58:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Isojärvi (18.063.1.002)/Havaintopaikka 1";"60° 33' 27.69"" N, 25° 22' 1.24"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-20T13:04:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kosamonjärvi (61.741.1.002)/Timolantie 110";"65° 15' 49.25"" N, 27° 52' 25.50"" E";"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-21T11:00:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kuusiston salmet ja Piikkiönlahti/Önsholm";"60° 21' 52.57"" N, 22° 26' 6.56"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-08-21T16:09:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kirmusjärvi (23.024.1.002)/Lintuniemi";"60° 20' 40.47"" N, 23° 51' 54.98"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-21T17:30:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kirkkojärvi (35.713.1.022)/Valtakunnallinen sinileväseuranta";"61° 27' 16.56"" N, 24° 2' 33.00"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-22T09:41:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
